,ref,creatorUrl,totalBytes,url,downloadCount,title,viewCount,voteCount,tags,size
233,adityakadiwal/water-potability,adityakadiwal,256729,https://www.kaggle.com/datasets/adityakadiwal/water-potability,55228,Water Quality,375811,1194,"[water bodies, public health, earth and nature, environment, energy, beginner, binary classification]",251KB
159,imakash3011/customer-personality-analysis,imakash3011,63450,https://www.kaggle.com/datasets/imakash3011/customer-personality-analysis,92246,Customer Personality Analysis,583804,1979,"[business, education, exploratory data analysis, data cleaning, classification, clustering]",62KB
346,rounakbanik/pokemon,rounakbanik,47750,https://www.kaggle.com/datasets/rounakbanik/pokemon,54043,The Complete Pokemon Dataset,412670,1034,"[popular culture, arts and entertainment, games, video games, earth and nature, anime and manga]",47KB
73,gregorut/videogamesales,gregorut,390286,https://www.kaggle.com/datasets/gregorut/videogamesales,427260,Video Game Sales,1636856,5224,"[games, video games]",381KB
1882,zusmani/gufhtugu-publications-dataset-challenge,zusmani,977298,https://www.kaggle.com/datasets/zusmani/gufhtugu-publications-dataset-challenge,1782,Gufhtugu Publications Dataset Challenge,37723,347,"[literature, business, recommender systems, retail and shopping, e-commerce services, python]",954KB
722,tencars/392-crypto-currency-pairs-at-minute-resolution,tencars,1892978504,https://www.kaggle.com/datasets/tencars/392-crypto-currency-pairs-at-minute-resolution,16782,400+ crypto currency pairs at 1-minute resolution,157750,556,"[business, finance, economics, investing, currencies and foreign exchange]",2GB
14,dansbecker/melbourne-housing-snapshot,dansbecker,461423,https://www.kaggle.com/datasets/dansbecker/melbourne-housing-snapshot,113002,Melbourne Housing Snapshot,330246,1247,"[australia, housing, real estate, social science, demographics]",451KB
160,camnugent/california-housing-prices,camnugent,409382,https://www.kaggle.com/datasets/camnugent/california-housing-prices,95846,California Housing Prices,508174,887,"[united states, housing, real estate, social science, computer science, programming, software, social issues and advocacy]",400KB
340,russellyates88/suicide-rates-overview-1985-to-2016,russellyates88,406636,https://www.kaggle.com/datasets/russellyates88/suicide-rates-overview-1985-to-2016,129073,Suicide Rates Overview 1985 to 2016 ,771436,2921,"[demographics, economics, news]",397KB
1073,unanimad/us-election-2020,unanimad,439478,https://www.kaggle.com/datasets/unanimad/us-election-2020,20862,US Election 2020,179259,545,[politics],429KB
1411,PromptCloudHQ/world-happiness-report-2019,promptcloud,3629,https://www.kaggle.com/datasets/PromptCloudHQ/world-happiness-report-2019,22893,World Happiness Report 2019,132750,405,"[arts and entertainment, religion and belief systems, social science, economics, geospatial analysis]",4KB
369,osmi/mental-health-in-tech-survey,ekim01,49930,https://www.kaggle.com/datasets/osmi/mental-health-in-tech-survey,56499,Mental Health in Tech Survey,434447,976,"[mental health, healthcare, genetics, earth and nature, employment]",49KB
389,ajaypalsinghlo/world-happiness-report-2021,ajaypalsinghlo,56531,https://www.kaggle.com/datasets/ajaypalsinghlo/world-happiness-report-2021,63381,World Happiness Report 2021,304575,1268,"[healthcare, religion and belief systems, health, economics, beginner]",55KB
110,aungpyaeap/supermarket-sales,aungpyaeap,36801,https://www.kaggle.com/datasets/aungpyaeap/supermarket-sales,162426,Supermarket sales,876136,1649,"[business, economics, data visualization]",36KB
942,brendaso/2019-coronavirus-dataset-01212020-01262020,brendaso,53774,https://www.kaggle.com/datasets/brendaso/2019-coronavirus-dataset-01212020-01262020,15488,2019 Coronavirus dataset (January - February 2020),108224,512,"[china , diseases, earth and nature, health, computer science]",53KB
185,akshaydattatraykhare/diabetes-dataset,akshaydattatraykhare,9128,https://www.kaggle.com/datasets/akshaydattatraykhare/diabetes-dataset,36365,Diabetes Dataset,188950,708,"[india, data visualization, tabular, diabetes, pandas]",9KB
23,residentmario/ramen-ratings,residentmario,40762,https://www.kaggle.com/datasets/residentmario/ramen-ratings,38787,Ramen Ratings,263813,848,"[asia, cooking and recipes, restaurants]",40KB
655,michau96/restaurant-business-rankings-2020,michau96,16166,https://www.kaggle.com/datasets/michau96/restaurant-business-rankings-2020,21909,Restaurant Business Rankings 2020,132955,402,"[websites, business, marketing, food, restaurants]",16KB
786,miroslavsabo/young-people-survey,miroslavsabo,85769,https://www.kaggle.com/datasets/miroslavsabo/young-people-survey,40671,Young People Survey,286466,715,"[movies and tv shows, earth and nature, education, demographics, psychology]",84KB
460,abecklas/fifa-world-cup,abecklas,357710,https://www.kaggle.com/datasets/abecklas/fifa-world-cup,60241,FIFA World Cup,378288,901,"[football, sports]",349KB
679,arjunprasadsarkhel/2021-olympics-in-tokyo,arjunprasadsarkhel,356012,https://www.kaggle.com/datasets/arjunprasadsarkhel/2021-olympics-in-tokyo,55793,2021 Olympics in Tokyo,282349,1157,"[sports, categorical, data visualization, tabular, japan]",348KB
28,jpmiller/publicassistance,jpmiller,304041,https://www.kaggle.com/datasets/jpmiller/publicassistance,18610,US Public Food Assistance 1 - WIC,119633,419,"[health, tabular, social issues and advocacy]",297KB
172,pavansubhasht/ibm-hr-analytics-attrition-dataset,pavansubhasht,51314,https://www.kaggle.com/datasets/pavansubhasht/ibm-hr-analytics-attrition-dataset,131544,IBM HR Analytics Employee Attrition & Performance,1171924,2185,"[employment, business, software]",50KB
618,ankurzing/sentiment-analysis-for-financial-news,ankurzing,924875,https://www.kaggle.com/datasets/ankurzing/sentiment-analysis-for-financial-news,14313,Sentiment Analysis for Financial News,110548,198,"[earth and nature, business, investing, news]",903KB
740,anandhuh/latest-covid19-india-statewise-data,anandhuh,1382,https://www.kaggle.com/datasets/anandhuh/latest-covid19-india-statewise-data,24384,Latest Covid-19 India Statewise Data,113923,748,"[india, social science, exploratory data analysis, data visualization, covid19]",1KB
913,agirlcoding/all-space-missions-from-1957,agirlcoding,103252,https://www.kaggle.com/datasets/agirlcoding/all-space-missions-from-1957,9192,All Space Missions from 1957,87005,401,"[earth and nature, earth science, science and technology]",101KB
1538,cclark/product-item-data,cclark,140589,https://www.kaggle.com/datasets/cclark/product-item-data,13058,eCommerce Item Data,148631,169,"[business, electronics, e-commerce services]",137KB
212,googleai/musiccaps,timodenkgoogle,811804,https://www.kaggle.com/datasets/googleai/musiccaps,6084,MusicCaps,278538,415,"[music, text, audio, english]",793KB
145,fedesoriano/stroke-prediction-dataset,fedesoriano,69007,https://www.kaggle.com/datasets/fedesoriano/stroke-prediction-dataset,123112,Stroke Prediction Dataset,923563,2605,"[healthcare, public health, health, binary classification, health conditions]",67KB
203,usgs/earthquake-database,abigaillarion,604367,https://www.kaggle.com/datasets/usgs/earthquake-database,34747,"Significant Earthquakes, 1965-2016",182957,510,"[earth science, geology]",590KB
236,smithsonian/volcanic-eruptions,abigaillarion,41317,https://www.kaggle.com/datasets/smithsonian/volcanic-eruptions,6761,Volcanic Eruptions in the Holocene Period,32352,131,[geology],40KB
1048,zusmani/us-mass-shootings-last-50-years,zusmani,317763,https://www.kaggle.com/datasets/zusmani/us-mass-shootings-last-50-years,16771,US Mass Shootings ,118751,367,"[united states, crime]",310KB
1033,ahsen1330/us-police-shootings,ahsen1330,129365,https://www.kaggle.com/datasets/ahsen1330/us-police-shootings,13228,US Police Shootings,100945,364,"[business, crime, education, time series analysis, online communities]",126KB
